SUB_TYPE,SUB_TYPE_DESC,DATA_STATUS,DATA_STATUS_DISPLAY,STATUS_CLASS,ADDRESS,URL,LAST_UPDATED,LATITUDE,LONGITUDE,NEIGHBORHOOD
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1126 SETON AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600685,09/28/2017 12:00:00 AM +0000,39.11262789,-84.57609265,EAST PRICE HILL
YEAR-4  ,VFPR Second Year Registration,RENEWAL ,Renewal of Previous Year Registration,,4822 MORSE ST                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600339,09/08/2017 12:00:00 AM +0000,39.12215505,-84.41482354,LINWOOD
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,3818 HERRON AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700304,08/30/2017 12:00:00 AM +0000,39.15652366,-84.55293321,SOUTH CUMMINSVILLE
YEAR-4  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,1037 BEECH AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600165,08/31/2016 12:00:00 AM +0000,39.11125199,-84.57777586,WEST PRICE HILL
YEAR-4,VFPR Second Year Registration,CLOSE-V,Case Closed - Building Vacant,CLOS,4763 DALE AV,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700578,01/22/2018 12:00:00 AM +0000,39.11184081,-84.59829258,WEST PRICE HILL
YEAR-4,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,4822 MORSE ST,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700131,01/26/2018 12:00:00 AM +0000,39.12215505,-84.41482354,LINWOOD
YEAR-3  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,1079 GRAND AV                        ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700613,12/19/2017 12:00:00 AM +0000,39.11264094,-84.56074401,EAST PRICE HILL
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,805 RIDGEWAY AV                     ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700468,12/15/2017 12:00:00 AM +0000,39.13944163,-84.49087105,AVONDALE
YEAR-3  ,VFPR Second Year Registration,CIVIL-NM,Vacant - Not Maintained - Civil Fine Pending,OPEN,3077 MASSACHUSETTS AV                ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700701,12/27/2017 12:00:00 AM +0000,39.1401497,-84.53565424,CAMP WASHINGTON
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,2735 WAGNER ST                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700469,12/27/2017 12:00:00 AM +0000,39.13133202,-84.52698552,CUF
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,7201 SCOTTWOOD AV                    ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700488,12/01/2017 12:00:00 AM +0000,39.19335895,-84.46240041,ROSELAWN
YEAR-3  ,VFPR Second Year Registration,CLOSE-O ,Case Closed - Building Occupied,CLOS,5548 DUNNING PL                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600395,11/28/2017 12:00:00 AM +0000,39.1561534,-84.39781329,MADISONVILLE
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,137 WHIPPLE ST                      ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600324,11/28/2017 12:00:00 AM +0000,39.10627989,-84.68416886,SAYLER PARK
YEAR-3  ,VFPR Second Year Registration,REGISTRD,Vacant - Registered Vacant,OPEN,1723 KINNEY AV                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700617,11/27/2017 12:00:00 AM +0000,39.13616957,-84.47294905,EVANSTON
YEAR-3  ,VFPR Second Year Registration,VOID    ,Case Voided,CLOS,3068 HEGRY CIR                       ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1700579,11/14/2017 12:00:00 AM +0000,39.13112078,-84.6037341,WESTWOOD
YEAR-3  ,VFPR Second Year Registration,CLOSE-V ,Case Closed - Building Vacant,CLOS,6566 DALY RD                         ,http://cagismaps.hamilton-co.org/PropertyActivity/CagisReport?APD=VFP1600809,11/09/2017 12:00:00 AM +0000,39.20931152,-84.5313822,COLLEGE HILL
