ADDRESS,LATITUDE,LONGITUDE,prop class,parcel amt
2839 MORNINGRIDGE DR,39.13703596,-84.58750925,510,2
3947 FARRELL DR,39.1585257,-84.57484849,550,1
2620 FENTON AV,39.13520257,-84.57765844,530,1
2635 OCOSTA AV,39.14050444,-84.58752054,510,1
2909 CAVANAUGH AV,39.13865597,-84.57298903,510,1
2869 SHAFFER AV,39.14505493,-84.59317176,500,1
2943 LAFEUILLE AV,39.14065161,-84.59063193,510,1
3399 ANACONDA DR,39.15247641,-84.58123067,510,19
2632 QUEEN CITY AV,39.13082175,-84.59050893,510,1
2622 CORA AV,39.13516835,-84.57972038,500,4
2725 ORLAND AV,39.1355028,-84.5745429,550,1
2900 WOODROW AV,39.13867468,-84.58587925,680,2
3008 EPWORTH CT,39.13751515,-84.60081501,510,1
2620 FENTON AV,39.13520538,-84.577655,530,1
2932 FISCHER PL,39.14562628,-84.59499104,510,1
2632 QUEEN CITY AV,39.13082456,-84.59050549,510,1
2943 LAFEUILLE AV,39.14065161,-84.59063193,510,1
3071 VEAZEY AV,39.13159067,-84.60371995,510,1
2957 WARDALL AV,39.15664026,-84.59721711,510,1
2854 SHAFFER AV,39.14538389,-84.59229277,552,2
2557 MUSTANG DR,39.15305278,-84.57972041,510,1
4763 DALE AV,39.11184081,-84.59829258,510,1
4894 RAPID RUN RD,39.11148469,-84.60309038,401,1
1117 ALCLIFF LN,39.11616802,-84.61542508,550,2
4369 CAPPEL DR,39.10495499,-84.59650449,510,1
1010 FISK AV,39.11087946,-84.58628173,510,1
1536 MANSS AV,39.12192087,-84.57720964,510,1
1834 ASHBROOK DR,39.12359158,-84.59349193,510,1
1030 SUNSET AV,39.11119684,-84.58512782,500,1
1026 SUNSET AV,39.11108385,-84.58514915,500,2
4539 CARNATION AV,39.10737585,-84.60037663,510,1
5262 HIGHVIEW DR,39.11576499,-84.61373131,510,1
5044 SIDNEY RD,39.12372568,-84.60489149,520,5
700 WILBUD DR,39.10468961,-84.59112816,300,2
1124 ROSEMONT AV,39.11333897,-84.58283994,510,1
4915 HEUWERTH AV,39.12244291,-84.60308667,510,1
4862 GUERLEY RD,39.11868196,-84.59738965,510,1
1142 MORADO DR,39.11581458,-84.60602965,510,1
1026 SUNSET AV,39.11108385,-84.58514915,500,2
1147 WOODY LN,39.11721946,-84.61439552,555,1
4779 RAPID RUN RD,39.11101018,-84.5979047,500,2
4708 RAPID RUN RD,39.11167891,-84.59524898,520,2
4627 CHICKERING AV,39.17406576,-84.51180445,510,1
4503 CIRCLE AV,39.17005067,-84.517652,510,12
1833 SUNNYBROOK DR,39.20694097,-84.45432927,510,1
7609 GREENLAND PL,39.19941373,-84.46082243,510,1
4044 HILLSIDE AV,39.07806558,-84.60962852,550,2
3648 RIVER RD,39.0799327,-84.59315148,510,1
5545 BOSWORTH PL,39.17610095,-84.4430065,510,1
3120 LOSANTIVILLE AV,39.18270799,-84.42904981,530,1
5621 ABBOTTSFORD AV,39.17743981,-84.44046072,510,1
5909 WOODMONT AV,39.17917641,-84.42490922,510,1
3219 ORION AV,39.18148345,-84.42638739,510,1
1533 REPUBLIC ST,39.11258047,-84.51688118,510,1
2832 WASSON RD,39.14474719,-84.43821467,111,1
4309 EILEEN DR,39.1549744,-84.43788292,510,1
4020 EILEEN DR,39.15268128,-84.43771741,401,1
4205 DANE AV,39.16348317,-84.53296455,510,1
4223 MAD ANTHONY ST,39.16398697,-84.53571317,510,1
4205 DANE AV,39.16348317,-84.53296455,510,1
1639 DENHAM ST,39.13529163,-84.54920301,510,1
2787 PICKMEIER LN,39.13725492,-84.5688605,500,1
1793 BALTIMORE AV,39.13406313,-84.55483755,510,1
1015 VALLEY LN,39.15165626,-84.47889663,510,1
1554 BRANDON AV,39.08268003,-84.38923195,510,1
2554 BONNIE DR,39.10284499,-84.38709478,550,1
6450 RAINBOW LN,39.09689386,-84.37779658,500,2
6137 CRESTVIEW PL,39.09681604,-84.38782472,510,1
1679 BRACHMAN AV,39.08401288,-84.37904554,510,1
1523 BRANDON AV,39.08162726,-84.38979564,510,28
